,0
29,(DL[i+1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1])
30,(V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V0[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
31,DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~V0[i+1]
32,DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1]
33,DL[i+1] & V0[i-1] & V1[i+1] & ~V0[i+1] & ~V1[i-1]
34,~V0[i] & ~V1[i]
35,V0[i] & V1[i]
36,DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1] & ~V1[i+1]
37,DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]
38,DL[i+1] & V0[i+1] & V0[i] & ~V1[i]
39,V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i+1]
40,V0[i] & ~V1[i]
41,DL[i+1] & V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i]
42,DL[i+1] & V0[i+1] & V0[i] & V1[i]
43,V0[i-1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i-1]
44,DL[i+1] & V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]
45,V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~V1[i-1]
46,V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]
47,DL[i+1] & V0[i-1] & ~V0[i+1] & ~V1[i-1]
48,DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]
49,~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]
50,DL[i+1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]
51,V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]
52,DL[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i]
53,DL[i+1] & V0[i+1] & V0[i-1] & ~V1[i-1]
54,DL[i+1] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i-1]
55,V0[i+1] & V0[i] & V1[i+1] & V1[i]
56,V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]
57,DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
58,DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]
59,DL[i+1] & V0[i+1] & V0[i-1] & V0[i] & V1[i-1]
60,V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]
61,DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i]
62,V0[i+1] & ~V1[i+1]
63,DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i]
64,DL[i+1] & V0[i] & V1[i+1] & V1[i]
65,V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i]
66,DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i]
67,
68,V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]
69,DL[i+1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i]
70,V0[i+1] & V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i]
71,V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]
72,DL[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1]
73,DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]
74,~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]
75,V0[i+1] & V0[i-1] & V0[i] & ~DL[i] & ~V1[i-1] & ~V1[i]
76,V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]
77,V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]
78,DL[i+1] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1]
79,V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]
80,DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]
81,DL[i+1] & V0[i] & ~V1[i+1] & ~V1[i]
82,DL[i+1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
83,V1[i+1] & ~V0[i+1]
84,DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~V0[i-1] & ~V0[i]
85,V0[i-1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i] & ~V1[i-1]
86,DL[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & ~V1[i]
87,V0[i-1] & V0[i] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]
88,DL[i+1] & V1[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]
89,V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1]
90,~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
91,DL[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1]
92,DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1]
93,V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]
94,DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V1[i-1]
95,DL[i] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i-1]
96,DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1]
97,DL[i+1] & V0[i+1] & V1[i-1] & ~V0[i-1]
98,~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]
99,V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]
100,DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1] & ~V1[i]
101,V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i]
102,DL[i+1] & DL[i] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i]
103,V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]
104,DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i]
105,V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]
106,V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V1[i]
107,V0[i+1] & V0[i-1] & V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
108,DL[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]
109,DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V1[i+1]
110,V0[i-1] & V1[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i]
111,DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1]
112,DL[i] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]
113,DL[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
114,V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]
115,~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
116,V0[i+1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]
117,DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1]
118,V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]
119,V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i]
120,DL[i+1] & V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
121,V0[i-1] & V1[i+1] & ~DL[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]
122,V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i]
123,V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]
124,V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]
125,DL[i+1] & DL[i-1] & V0[i+1] & V0[i] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i]
126,DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i]
127,DL[i+1] & V0[i-1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]
128,V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]
129,V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i]
130,DL[i+1] & V0[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
131,V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]
132,DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]
133,V0[i-1] & V0[i] & V1[i+1] & ~DL[i+1] & ~V1[i-1] & ~V1[i]
134,V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1]
135,DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1]
136,DL[i] & V0[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]
137,DL[i-1] & DL[i] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i]
138,~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]
139,DL[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]
140,DL[i+1] & V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1]
141,V0[i+1] & V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]
142,V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]
143,DL[i+1] & V0[i] & V1[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
144,V0[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]
145,V0[i] & V1[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
146,V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i]
147,DL[i+1] & V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]
148,DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]
149,V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V1[i+1]
150,DL[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]
151,V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
152,V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]
153,DL[i+1] & V0[i-1] & V1[i-1] & ~V1[i+1] & ~V1[i]
154,V0[i+1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]
155,V0[i-1] & V0[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1] & ~V1[i]
156,DL[i+1] & V1[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
157,V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]
158,DL[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]
159,DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
160,DL[i-1] & DL[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]
161,V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i]
162,V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1] & ~V1[i]
163,V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]
164,DL[i+1] & V0[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]
165,V0[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]
166,~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]
167,DL[i+1] & DL[i] & V0[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]
168,DL[i+1] & V0[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
169,V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
170,~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
171,DL[i+1] & V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
172,V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]
173,V0[i] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]
174,V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]
175,V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]
176,V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]
177,DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
178,V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]
